run_name,Loss/average,Loss/batch,Rules/anyvalid,Rules/anyvalid_cnt,Rules/c2,Rules/c2_cnt,Rules/c3,Rules/c3_cnt,Speed/steps_per_sec,full_name,step,step/epoch,Loss/average_std,Loss/batch_std,Rules/anyvalid_std,Rules/anyvalid_cnt_std,Rules/c2_std,Rules/c2_cnt_std,Rules/c3_std,Rules/c3_cnt_std,Speed/steps_per_sec_std
006-SiT_S_1-stream0_016M_all-Linear-velocity-None,0.5159419059753418,0.5069111883640289,0.500634765625,3075.9,0.09755859375,199.8,0.016650390625,34.1,17.081602478027342,006-SiT_S_1-stream0_016M_all-Linear-velocity-None/tensorboard_logs,1000000,977500,0.006074376867719561,0.03227361351762828,0.007306491105777062,44.89110280569092,0.0040448501476586084,8.28385310240483,0.002897409718990111,5.933895104491747,0.7371304727544651
007-SiT_S_1-stream0_16M_all-Linear-velocity-None,0.794219571352005,0.7733418881893158,0.8463053405284882,5199.7,0.12080078125,247.4,0.72216796875,1479.0,18.57810754776001,007-SiT_S_1-stream0_16M_all-Linear-velocity-None/tensorboard_logs,1000000,977500,0.003116621995792108,0.02522371806942278,0.0018621704887545351,11.441153787970752,0.00346950848814433,7.105553383719588,0.0043429896042078055,8.894442709417586,2.898249412806841
008-SiT_S_1-stream1_6M_all-Linear-velocity-None,0.7965779662132263,0.7882035374641418,0.8834309816360474,5427.8,0.111279296875,227.9,0.773388671875,1583.9,19.6659818649292,008-SiT_S_1-stream1_6M_all-Linear-velocity-None/tensorboard_logs,1000000,977500,0.003031983713019985,0.03994445363511913,0.0013891538353396737,8.534895690308467,0.003976487141319621,8.143845665422583,0.003657223302944153,7.4899933244296255,0.719731107503837
010-SiT_S_1-stream16M_all-Linear-velocity-None,0.7965834856033325,0.8038681626319886,0.8763183534145356,5384.1,0.105712890625,216.5,0.7681640625,1573.2,18.850723838806154,010-SiT_S_1-stream16M_all-Linear-velocity-None/tensorboard_logs,1000000,977500,0.0029700155410545682,0.02906902851637392,0.001099751959554541,6.756889488185701,0.0038670587143609125,7.919736247011149,0.00287307866713751,5.8840651102976205,3.3471522848762736
011-SiT_B_1-stream0_16M_all-Linear-velocity-None,0.7838757276535034,0.7925188839435577,0.8020182251930237,4927.6,0.146728515625,300.5,0.638720703125,1308.1,8.551745080947876,011-SiT_B_1-stream0_16M_all-Linear-velocity-None/tensorboard_logs,942500,920000,0.0014948543268885576,0.028554670723214628,0.00411698577278478,25.294707395465554,0.005554161956624851,11.374923687167694,0.007971771930496998,16.32618891365785,0.7246613074975967
011-SiT_S_1-stream16M_heldout0-Linear-velocity-None,0.8041044116020203,0.7997941255569458,0.8693196654319764,5341.1,0.113134765625,231.7,0.753564453125,1543.3,20.047719955444336,011-SiT_S_1-stream16M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,977500,0.0023344135851060916,0.03140654917695506,0.001699191076781431,10.439774369635096,0.002447366855642187,5.012207320355199,0.0020594177848811154,4.217687623436524,0.01094519707052745
012-SiT_B_1-stream0_016M_all-Linear-velocity-None,0.4408304691314697,0.4392072468996048,0.46782226860523224,2874.3,0.08896484375,182.2,0.05498046875,112.6,6.765725421905517,012-SiT_B_1-stream0_016M_all-Linear-velocity-None/tensorboard_logs,815200,792500,0.0033447911702930095,0.027101615070626115,0.00635532876206501,39.04712252878286,0.004653923437672271,9.53123520035281,0.0019147709856579102,3.9214509786274,1.6843627473186844
012-SiT_S_1-stream1_6M_heldout0-Linear-velocity-None,0.8040230989456176,0.7950157046318054,0.8853190064430236,5439.4,0.12900390625,264.2,0.765576171875,1567.9,20.024264335632324,012-SiT_S_1-stream1_6M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,977500,0.0027469170746345552,0.03571000220949457,0.0016006213733326497,9.834180754445836,0.004827156768139265,9.886017061149214,0.003909300566650051,8.006247560499304,0.026427063976665423
013-SiT_B_1-stream16M_all-Linear-velocity-None,0.794015783071518,0.7998718082904815,0.892529296875,5483.7,0.1123046875,230.0,0.78671875,1611.2,8.938667297363281,013-SiT_B_1-stream16M_all-Linear-velocity-None/tensorboard_logs,979500,955000,0.004148543353688825,0.03139990826545576,0.000878335102818499,5.396500923952696,0.0040198857536551,8.232726023485645,0.0032043553912303965,6.562519841239852,0.0064586358562968935
013-SiT_S_1-stream0_016M_heldout0-Linear-velocity-None,0.4943026602268219,0.484189173579216,0.4570312529802322,2808.0,0.082373046875,168.7,0.015087890625,30.9,17.163987159729004,013-SiT_S_1-stream0_016M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,977500,0.0023517860466758488,0.042110557345246276,0.0026512142946942697,16.28905563049417,0.005223823401095741,10.698390325444077,0.0012701570973389757,2.6012817353502222,0.6160004168458288
014-SiT_B_1-stream1_6M_all-Linear-velocity-None,0.794809103012085,0.7966725587844848,0.8694010436534881,5341.6,0.115625,236.8,0.7548828125,1546.0,8.727148294448853,014-SiT_B_1-stream1_6M_all-Linear-velocity-None/tensorboard_logs,975000,952500,0.002323095640034912,0.03405643061387566,0.0026823377863045895,16.48029125956225,0.00448581409291244,9.186947262284678,0.004385479682717228,8.981462390204882,0.6086366391897016
014-SiT_S_1-stream0_16M_heldout0-Linear-velocity-None,0.8003768742084503,0.798300051689148,0.8436686217784881,5183.5,0.126416015625,258.9,0.70888671875,1451.8,19.669045829772948,014-SiT_S_1-stream0_16M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,977500,0.002453043870629512,0.02796638204684514,0.0021826482056673284,13.410195126594473,0.002737570212754205,5.6065437957206115,0.002229283029721871,4.565571644870392,0.718519167904319
015-SiT_B_1-stream0_016M_heldout0-Linear-velocity-None,0.4108172208070755,0.4159851908683777,0.5172037780284882,3177.7,0.09677734375,198.2,0.15322265625,313.8,8.303553676605224,015-SiT_B_1-stream0_016M_heldout0-Linear-velocity-None/tensorboard_logs,1000000,977500,0.003452723496749657,0.03598256744896336,0.005449189336286569,33.47984468303268,0.005862990782510115,12.007405122580716,0.0034817036346669193,7.130529043797851,0.1451189087953058
