,iclass,idxs,x_pos,y_pos,consistent_r3,batch_size,rule_uniq,rule_cnts
0,0,"[8513, 5917, 4432]",0,2,78,100,[ 0. 26. 31.  6. 21.],[78  7  2  2  1]
1,0,"[8513, 5917, 4432]",1,2,0,100,[25. 35. 16. 12. 26.  6. 21. 36.],[33  9  6  4  3  3  2  1]
2,0,"[8513, 5917, 4432]",2,2,57,100,[ 0. 12. 30. 16.  5. 29.],[57 14 11  4  3  1]
3,0,"[4114, 7145, 679]",0,2,0,100,[24. 25.  6. 36. 39. 38.],[14  6  4  3  1  1]
4,0,"[4114, 7145, 679]",1,2,40,100,[ 0.  5. 34. 35. 26. 15. 21.],[40 23  9  8  8  5  4]
5,0,"[4114, 7145, 679]",2,2,0,100,[25. 15. 35.  6. 36. 26. 21. 13. 38.],[47 12  8  8  3  3  3  3  1]
6,0,"[59, 10568, 11170]",0,2,75,100,[ 0. 16.  6. 32. 39.],[75  5  3  2  1]
7,0,"[59, 10568, 11170]",1,2,58,100,[ 0.  5. 26.],[58 28  1]
8,0,"[59, 10568, 11170]",2,2,0,100,[35. 30.  6. 39. 38. 37.],[13  7  2  1  1  1]
9,0,"[7776, 1633, 6888]",0,2,0,100,[36. 16. 12.  6. 32.],[18  7  6  4  3]
10,0,"[7776, 1633, 6888]",1,2,0,100,[22. 26. 19.  6.],[11  7  1  1]
11,0,"[7776, 1633, 6888]",2,2,0,100,[23. 36.  6.],[34  4  3]
12,0,"[146, 597, 1108]",0,2,56,100,[ 0. 13. 36. 26.  6. 22. 38.],[56 32  8  8  6  4  2]
13,0,"[146, 597, 1108]",1,2,0,100,[20. 10. 26. 16.  6. 35. 37. 33.],[31 12 10  7  6  2  1  1]
14,0,"[146, 597, 1108]",2,2,65,100,[ 0.  6. 30. 15. 16. 10. 39. 37.],[65  6  5  4  2  2  1  1]
15,0,"[83, 9502, 2695]",0,2,73,100,[ 0. 26. 16.  6. 38.],[73  3  3  2  1]
16,0,"[83, 9502, 2695]",1,2,0,100,[30.  6. 19.],[4 3 2]
17,0,"[83, 9502, 2695]",2,2,83,100,[ 0. 14. 31. 15. 36. 39.  6.],[83  5  3  3  2  1  1]
18,0,"[9777, 2417, 2684]",0,2,68,100,[ 0. 16.  5. 36. 38.],[68 41 13  7  1]
19,0,"[9777, 2417, 2684]",1,2,64,100,[ 0.  5. 21. 16. 36. 12. 26. 32.],[64 15 10  8  7  7  6  2]
20,0,"[9777, 2417, 2684]",2,2,0,100,[ 6. 33. 24. 25.],[12  7  5  1]
21,0,"[2837, 7045, 7797]",0,2,53,100,[ 0.  5. 35. 16. 26. 11. 25. 20.],[53 20 17 12 10  8  5  3]
22,0,"[2837, 7045, 7797]",1,2,0,100,[6.],[5]
23,0,"[2837, 7045, 7797]",2,2,0,100,[19. 32. 38.  6.],[4 2 1 1]
24,0,"[10037, 10149, 10772]",0,2,83,100,[ 0. 33. 19. 26.  6.],[83 15  7  3  2]
25,0,"[10037, 10149, 10772]",1,2,86,100,[ 0. 15. 35. 36. 16. 24. 11. 25.],[86 41 13 11  6  4  3  2]
26,0,"[10037, 10149, 10772]",2,2,0,100,[ 6. 31.],[5 3]
27,0,"[7031, 8004, 10696]",0,2,47,100,[ 0. 26. 16. 15.  5. 36.  6.],[47 10  9  5  5  4  1]
